	black	white	red	yellow	green	blue	brown	grey	orange
Adnyamathanha	maRu	upa[1]	yalthatyi	arkutinyi, yaliwarrunha	aRarra virta-i-	unarru	yaliwarrunha[2]	arru	
AghuTharnggala	lcur	naynh							
Alyawarr	errpurl, rrpwerl, irrpwerl; amwak[3]	rntralker	rnterernter	arrkit	atherrk-atherrk				
Antekerrepenh	urrpwerl, urrperl	arlter	atyetyek						
Arabana	pirla, waka	pitjirrinha	miRaka	miRaka	ngaljuRu	ngaljuRu			
Awabakal	naru	barul	garil		girul				
Ayapathu	ngoton	pach	chokerre						
Badimaya	mawurdu	biluny	binma		guwiyarlarra				
Badjiri	garagara	budhabudha	gudhigudhi						
Bandjalang	duhndun Y, nyagu, jagabar	dalahn Y,G,C, deber W,C	gudhihn G, gudhihyn W,We, gudhihny	widhagaŋ					
BarrowPoint	ngulnggu:nh	mangi:r	umburrul			urnggu:nh		urrba:lnganh	
Batyala	dagil	kak’kal[6]	gooding					dhauwa-dhauwul	
BidjaraGungabula	midhamidha	budhabudha	gudhigudhi	gudhirri			dhigara	thanpartthanpart	
Bilinarra	ngumbung	wargi	gigig, win.gilyang[7]		wurrgal				
Biri	gura	budya	diga, kuma[8]	bagari	burba			bingara	
Birrpayi	ngana	dyirrá	mu-dyil	yara-gál	bulga-ga				
Bularnu	bupugabupuga	burna	yalathalatha	gudhuludhulu	yuwaliwali			nyudurru	
Coobenpil	goorooin	boopa	cowan						
Coonambella	coor'gool	ma'ra	dil'goor'a'ry		bubba laballa	y[9]			
Darkinyung	mining	barag							
Dhangu	gurrŋan(')	gapaṉ	[10]	ḏuŋgul	dhulmu				
Dharawal	ngunda	dibawira	gabar	gubar	gudya				
Dharuk	ngana	dyirra	mudjil	yarragal	bulgaga	nga-nda			
Dharumbal	gurrurru	dharidhi							
Dhudhuroa	dhayugilu	darrangarra	ngaya						
Dhurga	nVndaagun[11]	wari	manjamanja						
Dhuwal	mol	watharr	ratjpa	ḏuŋgul	dhulmu		ḻarraṉi(')	djirrtjirr	
Dhuwala	gurrŋan(')[12]	watharr	ṉipiṉ[13]	buthalak	gurinyguriny	milkuminy[14]	gunhdhirr(‘)	guray	
Diyari	maru	warru	marralyi	kakoo	kulyakulya			karoo	
